,lon0,lat0,lat1,lat2
WRFM04d01,120.0,27.065534591674805,10.0,40.0
WRFM04d02,120.0,27.065534591674805,10.0,40.0
WRFM05d01,120.0,27.065534591674805,10.0,40.0
WRFM05d02,120.0,27.065534591674805,10.0,40.0
RWRFM01d01,120.0,21.494176864624023,10.0,40.0
